Pzp,A1m,A2m,AI893533,MAM,,,,,,,,,,,,,,,
Aanat,AA-NAT,Nat-2,Nat4,Snat,,,,,,,,,,,,,,,
Aatk,AATYK,aatyk1,mKIAA0641,,,,,,,,,,,,,,,,
Abca1,ABC-1,Abc1,,,,,,,,,,,,,,,,,
Abca4,AW050280,Abc10,Abcr,D430003I15Rik,RmP,,,,,,,,,,,,,,
Abca2,AI413825,Abc2,D2H0S1474E,mKIAA1062,,,,,,,,,,,,,,,
Abcb7,AA517758,AU019072,Abc7,,,,,,,,,,,,,,,,
Abcg1,AW413978,Abc8,White,,,,,,,,,,,,,,,,
Abi1,E3B1,NAP1,Ssh3bp1,,,,,,,,,,,,,,,,
Abl1,AI325092,Abl,E430008G22Rik,c-Abl,,,,,,,,,,,,,,,
Abl2,AA536808,Abll,Arg,,,,,,,,,,,,,,,,
Scgb1b27,Abp,Abpa,Abpa27,Sal-1,Tcp,,,,,,,,,,,,,,
ac,0,,,,,,,,,,,,,,,,,,
Acadl,AA960361,AU018452,C79855,LCAD,,,,,,,,,,,,,,,
Acadm,AU018656,MCAD,,,,,,,,,,,,,,,,,
Acadvl,vlcad,,,,,,,,,,,,,,,,,,
Acads,AI196007,Bcd-1,Bcd1,Hdlq8,SCAD,,,,,,,,,,,,,,
Slc33a1,AI315656,AI788741,Acatn,D630022N01Rik,,,,,,,,,,,,,,,
Asic2,ACIC2,Accn1,BNC1,BNaC1,BNaC1a,Mdeg,,,,,,,,,,,,,
Asic1,AI843610,ASIC,ASIC1a,Accn2,B530003N02Rik,BNaC2,,,,,,,,,,,,,
Ace,AW208573,CD143,,,,,,,,,,,,,,,,,
Ache,0,,,,,,,,,,,,,,,,,,
Apoc4,Acl,,,,,,,,,,,,,,,,,,
Macf1,ABP620,Acf7,Aclp7,MACF,R74989,mKIAA0465,,,,,,,,,,,,,
Aco1,Aco-1,Irebp,Irp1,,,,,,,,,,,,,,,,
Aco2,Aco-2,Aco3,D10Wsu183e,,,,,,,,,,,,,,,,
Acox1,AOX,Acox,D130055E20Rik,Paox,,,,,,,,,,,,,,,
Acp1,4632432E04Rik,AI427468,Acp-1,LMW-PTP,,,,,,,,,,,,,,,
Acp2,Acp-2,LAP,,,,,,,,,,,,,,,,,
Acp5,TRACP,TRAP,,,,,,,,,,,,,,,,,
Acr,0,,,,,,,,,,,,,,,,,,
Chrna1,AI385656,AI608266,Achr-1,Acra,,,,,,,,,,,,,,,
