B lymphocyte,memory B cell, B cell, B cell 1,B lymphocyte 1
T lymphocyte,Suppressor T cell,Cytotoxic T cell, T cell, T cell 1,T lymphocyte 1
Natural killer cell,NKC,NK cell,null cell
spermatid,nematoblast
oocyte,oogonium
chondroblast,chondrocyte
Cementoblast,Cementocyte
Odontoclast,Odontoblast
ependymal,ependymocyte
epithelial,epitheliocyte
osteoclast,chondroclast
mast cell,histaminocyte,labrocyte,mastocyte,tissue basophil
glial cell,neuroglial cell,neuroglial
macroglial,macrogliocyte
microglial,hortega cells,microgliocyte,microglia
osteocyte,bone cell
melanocyte,melanophore
peptic cell,zymogenic cell
goblet cell,chalice cell
parietal cell,oxyntic cell
Leydig cell,interstitial cell
myoepithelial,basket epithelial cell,myoepitheliocyte
erythrocyte, red blood cell,RBC
platelet,anucleate thrombocyte,enucleate thrombocyte
macrophage,histiocyte
keratinocyte,malpighian cell
gonadotroph,gonadtroph,pituitary delta cell
dendritic cell,interdigitating cell,veiled cell,DC
megakaryocyte,megacaryocyte,megalocaryocyte,megalokaryocyte
angioblastic,angioblast,chondroplast
alveolar cell,dust cell
basophil,BaP
leukocyte,white blood cell
DN3 cell,TN3 cell
endothelium, endothelial



