A1BG,A1B,ABG,GAB,HYST2477,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,A2MD,CPAMD5,FWP007,S863-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2MP1,A2MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT1,AAC1,MNAT,NAT-1,NATI,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT2,AAC2,NAT-2,PNAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATP,AACP,NATP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERPINA3,AACT,ACT,GIG25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADAC,CES5A1,DAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AANAT,DSPS,SNAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARS,CMT2N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAVS1,AAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAT,GABA-AT,GABAT,NPD009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA1,ABC-1,ABC1,CERP,HDLDT1,TGD,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA2,ABC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA3,ABC-C,ABC3,EST111653,LBM180,SMDP3,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB7,ABC7,ASAT,Atm1p,EST140535,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF1,ABC27,ABC50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA4,ABC10,ABCR,ARMD2,CORD3,FFM,RMP,RP19,STGD,STGD1,,,,,,,,,,,,,,,,,,,,,,
ABL1,ABL,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,,,,,,,,,,,,,,,,,,,,,,,,
AOC1,ABP,ABP1,DAO,DAO1,KAO,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL2,ABLL,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABO,A3GALNT,A3GALT1,GTB,NAGAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR,MDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAA1,ACAA,PTHIO,THIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACA,ACAC,ACACAD,ACC,ACC1,ACCA,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACB,ACC2,ACCB,HACC275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADL,ACAD4,LCAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADM,ACAD1,MCAD,MCADH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADS,ACAD3,SCAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADSB,2-MEBCAD,ACAD7,SBCAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADVL,ACAD6,LCACD,VLCAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAT1,ACAT,MAT,T2,THIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAT2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIC2,ACCN,ACCN1,ASIC2a,BNC1,BNaC1,MDEG,hBNaC1,,,,,,,,,,,,,,,,,,,,,,,,
ASIC1,ACCN2,ASIC,BNaC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHE,ACEE,ARACHE,N-ACHE,YT,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLY,ACL,ATPCL,CLATP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACO1,ACONS,HEL60,IREB1,IREBP,IREBP1,IRP1,,,,,,,,,,,,,,,,,,,,,,,,,
ACR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACO2,ACONM,ICRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOX1,ACOX,PALMCOX,SCOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP1,HAAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP5,SPENCDI,TRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPP,5'-NT,ACP-3,ACP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRV1,D11S4365,SP-10,SPACA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA1,ACTA,ASMA,CFTD,CFTD1,CFTDM,MPFD,NEM1,NEM2,NEM3,,,,,,,,,,,,,,,,,,,,,,
ACTA2,AAT6,ACTSA,MYMY5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTB,BRWS1,PS1TP5BP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTBP2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTBP3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTBP4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTBP6,H8-PSI-BETA-AC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTBP7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTBP8,ACTBP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTBP9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTC1,ACTC,ASD5,CMD1R,CMH11,LVNC4,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1,ACT,ACTG,BRWS2,DFNA20,DFNA26,HEL-176,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG2,ACT,ACTA3,ACTE,ACTL3,ACTSG,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1P1,ACT1GP1,ACTGP1,HY-psi-gamma-AC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1P2,ACTGP2,ACTL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1P3,ACTGP3,dJ545L17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1P6,ACTGP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1P7,ACTGP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1P8,ACTGP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTN4,ACTININ-4,FSGS,FSGS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1P9,ACTGP9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG1P10,ACTGP10,ACTL1,ACTP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTL6A,ACTL6,ARPN-BETA,Arp4,BAF53A,INO80K,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTN1,BDPLT15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTN2,CMD1AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTN3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVR1,ACTRI,ACVR1A,ACVRLK2,ALK2,FOP,SKR1,TSRI,,,,,,,,,,,,,,,,,,,,,,,,
ACVR1B,ACTRIB,ACVRLK4,ALK4,SKR2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVR2A,ACTRII,ACVR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVR2B,ACTRIIB,ActR-IIB,HTX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVRL1,ACVRLK1,ALK-1,ALK1,HHT,HHT2,ORW2,SKR3,TSR-I,,,,,,,,,,,,,,,,,,,,,,,
ACY1,ACY-1,ACY1D,HEL-S-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACYP1,ACYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACYP2,ACYM,ACYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM8,CD156,CD156a,MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM10,AD10,AD18,CD156c,HsT18717,MADM,RAK,kuz,,,,,,,,,,,,,,,,,,,,,,,,
ADAR,ADAR1,AGS6,DRADA,DSH,DSRAD,G1P1,IFI-4,IFI4,K88DSRBP,P136,,,,,,,,,,,,,,,,,,,,,
ADARB1,ADAR2,DRABA2,DRADA2,RED1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADARB2,ADAR3,RED2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCP1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
